bal_1,brick_1,d2_1,d3_1,d4_1,dist_1,floor_1,price_1,totsp_1,walk_1,,bal_2,brick_2,d2_2,d3_2,d4_2,dist_2,floor_2,price_2,totsp_2,walk_2,,bal_3,brick_3,d2_3,d3_3,d4_3,dist_3,floor_3,price_3,totsp_3,walk_3,,bal_4,brick_4,d2_4,d3_4,d4_4,dist_4,floor_4,price_4,totsp_4,walk_4,,bal_5,brick_5,d2_5,d3_5,d4_5,dist_5,floor_5,price_5,totsp_5,walk_5,,bal_6,brick_6,d2_6,d3_6,d4_6,dist_6,floor_6,price_6,totsp_6,walk_6,,bal_7,brick_7,d2_7,d3_7,d4_7,dist_7,floor_7,price_7,totsp_7,walk_7,,bal_8,brick_8,d2_8,d3_8,d4_8,dist_8,floor_8,price_8,totsp_8,walk_8,,bal_9,brick_9,d2_9,d3_9,d4_9,dist_9,floor_9,price_9,totsp_9,walk_9,,bal_10,brick_10,d2_10,d3_10,d4_10,dist_10,floor_10,price_10,totsp_10,walk_10
0,0,0,0,0,6.4,0,31,39,0,,0,0,0,0,0,7.2,0,32,34,1,,1,0,0,0,0,15.6,1,31,30,1,,1,0,1,0,0,5,1,75,61,1,,1,0,0,1,0,9.94566,1,59,60,1,,0,1,1,0,0,3.2,1,62,54,1,,1,1,0,1,0,8.86461,1,64,77,0,,,,0,0,0,10.3,,34,36.8,1,,1,0,1,0,0,5,1,52,52,0,,0,1,0,1,0,15,1,130,85,1
1,0,1,0,0,5,1,40,47,0,,0,1,0,1,0,9,1,70,68,1,,1,0,0,0,0,11.4,0,38,39,1,,1,0,0,1,0,16.43196,0,55,59,1,,1,0,0,0,1,8.9,1,106,100,1,,1,1,0,0,0,5.4,1,34,31,1,,1,0,0,0,0,16.606,1,32,38,0,,0,1,0,1,0,5.83767,0,115,84,1,,1,0,0,0,0,16.663,0,26,31,1,,1,0,1,0,0,5,0,38,46,1
1,1,0,1,0,13.40502,1,57,86,1,,1,0,1,0,0,6,0,62,44,1,,1,0,1,0,0,5,0,85,60,1,,1,0,0,0,0,7.2,1,42,35,1,,1,1,0,1,0,3.45936,0,79,73,1,,1,1,1,0,0,5.3,0,78,59,1,,0,0,0,0,0,3.6,0,31,34,0,,1,0,0,0,0,9,1,35,32,1,,1,0,0,0,0,8.8,1,38,42,0,,0,0,1,0,0,3.71,1,49,51.4,1
1,0,0,0,0,12.6,1,35,36,0,,0,0,0,1,0,4.16,1,74,65.4,1,,1,0,1,0,0,3.71,1,62,60,0,,0,1,1,0,0,2.765863,1,117,59.3,,,0,0,1,0,0,9,0,46,41,1,,0,0,0,0,0,9.6,1,29,34,1,,0,1,0,0,0,12.6,1,21,21,1,,1,0,1,0,0,4.801042,0,42.5,44.2,,,1,0,1,0,0,5,1,39.6,44,0,,0,1,0,0,0,1.5,1,47,27,1
1,1,0,1,0,5.625,0,77,84.6,1,,1,1,0,0,0,11.5,1,45,40.6,1,,1,0,0,1,0,14.05365,1,104,75,1,,1,1,1,0,0,7.5,1,37,41,1,,1,0,0,0,0,16.8,0,35,38,1,,1,1,1,0,0,5.3,1,35,35.8,1,,1,0,0,0,0,9.6,1,29,35,1,,1,0,0,0,0,12.92,1,31,39,0,,1,0,0,0,0,15.6,1,37,39,1,,1,1,1,0,0,6.3,1,128,70,1
0,0,1,0,0,9.7,1,30,45.3,0,,1,0,0,0,0,10.906,1,29.3,40,0,,1,1,1,0,0,5,1,40,40,1,,0,1,1,0,0,5,0,32,43,0,,1,0,0,0,0,12.6,0,33,35,1,,1,1,0,0,0,7.2,1,33,34,0,,1,0,1,0,0,16.5,1,60,60,1,,1,1,0,0,0,9.6,1,27,30,0,,1,1,0,0,0,7.6,1,28,33,0,,1,1,0,1,0,3.02694,0,78,74,1
1,0,0,0,0,10.2,0,35,36,1,,1,0,0,0,0,15.6,1,35,39,1,,1,0,0,0,0,14.4,1,32,34,1,,0,0,0,0,0,12.6,1,40,33,1,,0,1,1,0,0,9,1,70,74,0,,1,1,0,0,0,12.54,0,27,31,1,,0,1,0,0,0,2.622,1,30,32,0,,1,0,0,0,0,3.7,1,39,35,0,,,,0,0,0,11.4,,31,31,1,,1,0,0,0,0,12,1,33,36,1
1,0,0,0,0,15.352,1,29,40,0,,1,1,1,0,0,12,1,39,43,1,,0,1,1,0,0,3,1,68,57,1,,0,0,0,0,0,12,0,26,32,1,,1,0,0,1,0,2.8,1,86,74.4,1,,1,0,0,1,0,16.43196,1,54,68,0,,0,1,1,0,0,9.7,0,35,48,0,,1,1,0,0,0,7.2,1,41,34,1,,1,0,1,0,0,5.3,1,60,52,1,,0,0,0,0,0,16.663,1,29,36,1
1,0,0,1,0,9.94566,1,63,58,0,,0,0,1,0,0,6,0,58,58,1,,1,0,0,0,0,5.7,1,64,39,1,,1,0,0,1,0,16.21575,1,45.3,83,0,,1,0,0,1,0,19.4589,1,55,65,1,,1,1,0,1,0,6.27009,1,75,59,1,,1,0,0,0,0,16.169,1,28.5,31,1,,1,0,1,0,0,5,0,37,40,0,,1,0,0,0,0,9.96,1,30,38.9,0,,0,1,1,0,0,7.5,1,65,60,1
1,0,0,1,0,14.48607,1,56.7,73,0,,1,0,0,1,0,19.02648,1,55,62,1,,0,0,1,0,0,11.2,0,37.5,44.1,0,,1,0,0,0,0,3.6,0,34,34,1,,1,0,0,0,0,12.92,1,39,39,1,,1,1,0,0,0,12.45,1,56,42,1,,1,1,1,0,0,16.5,0,37,41,0,,1,0,0,1,0,4.97283,0,90,75,1,,0,1,0,0,1,5.6,1,122,90,1,,1,0,1,0,0,12.2,1,64,55,0
