x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
56,11,70,0,23,1,73,7,4,5,39,1,40,5,61,2,1,0,41,0
21,16,88,0,24,2,78,7,86,5,65,6,60,10,87,13,2,0,42,0
22,16,37,2,33,20,13,9,1,6,66,6,3,13,99,16,3,0,43,0
23,16,94,2,85,24,18,12,39,7,67,6,17,18,32,19,4,0,44,0
24,16,51,3,53,28,59,14,32,8,68,6,92,18,17,20,5,0,45,0
25,16,84,4,86,32,26,17,29,9,69,6,55,20,64,23,6,0,46,0
19,17,68,5,3,35,69,17,50,16,64,7,3,23,26,25,7,0,47,0
20,17,29,6,56,37,13,21,37,17,65,7,40,24,99,26,8,0,48,0
21,17,2,7,57,37,67,22,29,26,66,7,99,24,41,27,9,0,49,0
22,17,41,7,58,37,58,24,43,27,67,7,9,29,56,32,10,0,50,0
23,17,15,9,59,37,96,24,76,34,68,7,37,35,62,35,11,0,51,0
24,17,77,10,60,37,87,25,77,34,69,7,33,39,63,35,0,1,40,1
25,17,94,10,55,38,57,26,78,34,70,7,74,39,64,35,1,1,41,1
26,17,28,11,56,38,31,29,79,34,71,7,29,41,65,35,2,1,42,1
27,17,95,12,57,38,2,36,80,34,63,8,50,49,66,35,3,1,43,1
18,18,12,17,58,38,60,36,81,34,64,8,45,55,61,36,4,1,44,1
19,18,83,22,59,38,49,39,82,34,65,8,27,57,62,36,5,1,45,1
20,18,21,33,60,38,80,45,83,34,66,8,51,62,63,36,6,1,46,1
21,18,22,33,61,38,81,45,84,34,67,8,12,63,64,36,7,1,47,1
22,18,23,33,62,38,82,45,85,34,68,8,65,67,65,36,8,1,48,1
23,18,24,33,67,38,83,45,86,34,69,8,9,69,66,36,9,1,49,1
24,18,19,34,54,39,78,46,87,34,70,8,73,69,67,36,10,1,50,1
25,18,20,34,55,39,79,46,88,34,71,8,25,70,60,37,11,1,51,1
26,18,21,34,56,39,80,46,61,35,72,8,54,70,61,37,0,2,97,1
27,18,22,34,57,39,81,46,75,35,62,9,12,74,62,37,1,2,40,2
18,19,23,34,58,39,82,46,76,35,63,9,4,76,63,37,2,2,41,2
19,19,24,34,59,39,83,46,77,35,64,9,37,76,64,37,3,2,42,2
20,19,25,34,60,39,84,46,78,35,65,9,45,76,65,37,4,2,43,2
21,19,26,34,61,39,85,46,79,35,66,9,29,81,66,37,5,2,44,2
22,19,18,35,62,39,77,47,80,35,67,9,30,81,67,37,6,2,45,2
23,19,19,35,53,40,78,47,81,35,68,9,31,81,68,37,7,2,46,2
24,19,20,35,54,40,79,47,82,35,69,9,32,81,59,38,8,2,47,2
25,19,21,35,55,40,80,47,83,35,70,9,33,81,60,38,9,2,48,2
26,19,22,35,56,40,81,47,84,35,71,9,27,82,61,38,10,2,49,2
27,19,23,35,57,40,82,47,85,35,72,9,28,82,62,38,11,2,50,2
28,19,24,35,58,40,83,47,86,35,62,10,29,82,63,38,0,3,51,2
18,20,25,35,59,40,84,47,87,35,63,10,30,82,64,38,1,3,97,2
19,20,26,35,60,40,85,47,88,35,64,10,31,82,65,38,2,3,40,3
20,20,27,35,61,40,86,47,89,35,65,10,33,82,66,38,3,3,41,3
21,20,18,36,62,40,76,48,74,36,66,10,34,82,67,38,4,3,42,3
22,20,19,36,63,40,77,48,75,36,67,10,26,83,68,38,5,3,43,3
23,20,20,36,53,41,78,48,76,36,68,10,27,83,69,38,6,3,44,3
24,20,21,36,54,41,79,48,77,36,69,10,28,83,80,38,7,3,45,3
25,20,22,36,55,41,80,48,78,36,70,10,29,83,59,39,8,3,46,3
26,20,23,36,56,41,81,48,79,36,71,10,30,83,60,39,9,3,47,3
27,20,24,36,57,41,82,48,80,36,72,10,31,83,61,39,10,3,48,3
28,20,25,36,58,41,83,48,81,36,73,10,32,83,62,39,11,3,49,3
17,21,26,36,59,41,84,48,82,36,8,11,33,83,63,39,58,3,50,3
18,21,27,36,60,41,85,48,83,36,34,11,34,83,64,39,0,4,51,3
19,21,96,36,61,41,86,48,84,36,62,11,35,83,65,39,1,4,41,4
20,21,17,37,62,41,76,49,85,36,63,11,26,84,66,39,2,4,42,4
21,21,18,37,63,41,77,49,86,36,64,11,27,84,67,39,3,4,43,4
22,21,19,37,53,42,78,49,87,36,65,11,28,84,68,39,4,4,44,4
23,21,20,37,54,42,79,49,88,36,66,11,29,84,69,39,5,4,45,4
24,21,21,37,55,42,80,49,89,36,67,11,30,84,58,40,6,4,46,4
25,21,22,37,56,42,81,49,90,36,68,11,31,84,59,40,7,4,47,4
26,21,23,37,57,42,82,49,51,37,69,11,32,84,60,40,8,4,48,4
